substitution_id,order_id,store_id,original_sku_id,substitute_sku_id,original_category,substitute_category,same_category,price_difference_inr,customer_accepted,reason_for_sub,order_date,acceptance_label
SUB_0014082,ORD_00118547,STR_010,SKU_0201,SKU_0383,Beverages,Baby & Kids,False,469.0,False,Out of Stock,2023-05-28,Rejected
SUB_0034781,ORD_00289845,STR_001,SKU_0485,SKU_0206,Snacks & Confectionery,Beverages,False,98.0,False,Out of Stock,2023-12-09,Rejected
SUB_0026160,ORD_00219057,STR_010,SKU_0053,SKU_0275,Fruits & Vegetables,Personal Care,False,76.0,True,Out of Stock,2023-10-05,Accepted
SUB_0014961,ORD_00125937,STR_009,SKU_0208,SKU_0337,Beverages,Household,False,37.0,True,Out of Stock,2023-06-08,Accepted
SUB_0025378,ORD_00212689,STR_010,SKU_0292,SKU_0318,Personal Care,Household,False,122.0,False,Out of Stock,2023-09-29,Rejected
SUB_0052453,ORD_00436411,STR_010,SKU_0135,SKU_0140,Packaged Food,Packaged Food,True,-9.0,True,Out of Stock,2024-06-05,Accepted
SUB_0001478,ORD_00012479,STR_004,SKU_0140,SKU_0395,Packaged Food,Baby & Kids,False,578.0,False,Out of Stock,2023-01-14,Rejected
SUB_0012646,ORD_00106395,STR_002,SKU_0302,SKU_0054,Personal Care,Fruits & Vegetables,False,-233.0,True,Out of Stock,2023-05-12,Accepted
SUB_0013034,ORD_00109786,STR_007,SKU_0141,SKU_0286,Packaged Food,Personal Care,False,-98.0,False,Out of Stock,2023-05-16,Rejected
SUB_0009962,ORD_00083657,STR_007,SKU_0203,SKU_0445,Beverages,Snacks & Confectionery,False,-31.0,False,Out of Stock,2023-04-11,Rejected
SUB_0034545,ORD_00287936,STR_010,SKU_0221,SKU_0045,Beverages,Fruits & Vegetables,False,-49.0,True,Damaged,2023-12-06,Accepted
SUB_0019792,ORD_00165949,STR_001,SKU_0401,SKU_0256,Baby & Kids,Personal Care,False,-199.0,False,Out of Stock,2023-08-01,Rejected
SUB_0037544,ORD_00313041,STR_005,SKU_0086,SKU_0056,Dairy & Eggs,Fruits & Vegetables,False,-5.0,False,Out of Stock,2024-01-02,Rejected
SUB_0025895,ORD_00216888,STR_009,SKU_0198,SKU_0486,Beverages,Snacks & Confectionery,False,-66.0,False,Out of Stock,2023-10-03,Rejected
SUB_0049443,ORD_00411486,STR_007,SKU_0186,SKU_0070,Packaged Food,Dairy & Eggs,False,-38.0,False,Damaged,2024-05-01,Rejected
SUB_0013907,ORD_00117055,STR_002,SKU_0440,SKU_0057,Snacks & Confectionery,Fruits & Vegetables,False,-31.0,False,Out of Stock,2023-05-27,Rejected
SUB_0030802,ORD_00256935,STR_004,SKU_0236,SKU_0393,Beverages,Baby & Kids,False,663.0,False,Damaged,2023-11-08,Rejected
SUB_0038967,ORD_00324516,STR_006,SKU_0394,SKU_0151,Baby & Kids,Packaged Food,False,-299.0,True,Out of Stock,2024-01-14,Accepted
SUB_0032999,ORD_00275053,STR_006,SKU_0492,SKU_0404,Snacks & Confectionery,Baby & Kids,False,215.0,True,Out of Stock,2023-11-24,Accepted
SUB_0040943,ORD_00340595,STR_006,SKU_0232,SKU_0485,Beverages,Snacks & Confectionery,False,-9.0,False,Out of Stock,2024-01-31,Rejected
SUB_0038332,ORD_00319183,STR_010,SKU_0219,SKU_0368,Beverages,Household,False,-149.0,False,Out of Stock,2024-01-08,Rejected
SUB_0004525,ORD_00038585,STR_009,SKU_0142,SKU_0360,Packaged Food,Household,False,73.0,False,Out of Stock,2023-02-12,Rejected
SUB_0023655,ORD_00198592,STR_006,SKU_0477,SKU_0227,Snacks & Confectionery,Beverages,False,14.0,False,Out of Stock,2023-09-11,Rejected
SUB_0036986,ORD_00308318,STR_007,SKU_0179,SKU_0086,Packaged Food,Dairy & Eggs,False,35.0,True,Damaged,2023-12-28,Accepted
SUB_0005967,ORD_00050508,STR_004,SKU_0078,SKU_0308,Dairy & Eggs,Personal Care,False,105.0,True,Damaged,2023-02-28,Accepted
SUB_0003841,ORD_00033065,STR_008,SKU_0057,SKU_0309,Fruits & Vegetables,Personal Care,False,17.0,False,Out of Stock,2023-02-05,Rejected
SUB_0023687,ORD_00198850,STR_010,SKU_0254,SKU_0216,Personal Care,Beverages,False,-119.0,False,Out of Stock,2023-09-11,Rejected
SUB_0002580,ORD_00021996,STR_001,SKU_0405,SKU_0328,Baby & Kids,Household,False,-222.0,True,Damaged,2023-01-24,Accepted
SUB_0033680,ORD_00280459,STR_002,SKU_0119,SKU_0060,Dairy & Eggs,Fruits & Vegetables,False,-24.0,False,Out of Stock,2023-11-29,Rejected
SUB_0007500,ORD_00063096,STR_006,SKU_0399,SKU_0021,Baby & Kids,Fruits & Vegetables,False,-551.0,False,Out of Stock,2023-03-16,Rejected
SUB_0048634,ORD_00405093,STR_003,SKU_0343,SKU_0055,Household,Fruits & Vegetables,False,-92.0,False,Out of Stock,2024-04-23,Rejected
SUB_0051104,ORD_00425501,STR_006,SKU_0269,SKU_0048,Personal Care,Fruits & Vegetables,False,-157.0,False,Out of Stock,2024-05-21,Rejected
SUB_0006926,ORD_00058370,STR_008,SKU_0391,SKU_0381,Baby & Kids,Baby & Kids,True,-78.0,False,Out of Stock,2023-03-10,Rejected
SUB_0051497,ORD_00428614,STR_001,SKU_0153,SKU_0217,Packaged Food,Beverages,False,101.0,False,Damaged,2024-05-26,Rejected
SUB_0019266,ORD_00161592,STR_006,SKU_0036,SKU_0251,Fruits & Vegetables,Personal Care,False,103.0,False,Damaged,2023-07-26,Rejected
SUB_0001487,ORD_00012545,STR_005,SKU_0376,SKU_0050,Baby & Kids,Fruits & Vegetables,False,-605.0,True,Expired,2023-01-14,Accepted
SUB_0027401,ORD_00229129,STR_008,SKU_0063,SKU_0120,Dairy & Eggs,Dairy & Eggs,True,92.0,False,Out of Stock,2023-10-14,Rejected
SUB_0052166,ORD_00433773,STR_002,SKU_0496,SKU_0370,Snacks & Confectionery,Household,False,5.0,False,Out of Stock,2024-06-02,Rejected
SUB_0034136,ORD_00284630,STR_003,SKU_0444,SKU_0059,Snacks & Confectionery,Fruits & Vegetables,False,19.0,False,Damaged,2023-12-03,Rejected
SUB_0048428,ORD_00403205,STR_010,SKU_0193,SKU_0070,Beverages,Dairy & Eggs,False,84.0,False,Out of Stock,2024-04-20,Rejected
SUB_0041255,ORD_00343299,STR_001,SKU_0467,SKU_0130,Snacks & Confectionery,Packaged Food,False,56.0,False,Damaged,2024-02-04,Rejected
SUB_0053926,ORD_00449076,STR_010,SKU_0032,SKU_0436,Fruits & Vegetables,Baby & Kids,False,158.0,False,Damaged,2024-06-23,Rejected
SUB_0017568,ORD_00147670,STR_009,SKU_0013,SKU_0454,Fruits & Vegetables,Snacks & Confectionery,False,49.0,False,Out of Stock,2023-07-08,Rejected
SUB_0002529,ORD_00021460,STR_005,SKU_0123,SKU_0055,Dairy & Eggs,Fruits & Vegetables,False,-48.0,True,Out of Stock,2023-01-23,Accepted
SUB_0014056,ORD_00118315,STR_007,SKU_0324,SKU_0219,Household,Beverages,False,-110.0,False,Out of Stock,2023-05-28,Rejected
SUB_0001609,ORD_00013492,STR_002,SKU_0055,SKU_0357,Fruits & Vegetables,Household,False,116.0,False,Out of Stock,2023-01-15,Rejected
SUB_0048152,ORD_00400939,STR_002,SKU_0291,SKU_0449,Personal Care,Snacks & Confectionery,False,-136.0,False,Damaged,2024-04-18,Rejected
SUB_0019648,ORD_00164658,STR_005,SKU_0010,SKU_0475,Fruits & Vegetables,Snacks & Confectionery,False,18.0,True,Expired,2023-07-30,Accepted
SUB_0035688,ORD_00297352,STR_010,SKU_0093,SKU_0300,Dairy & Eggs,Personal Care,False,342.0,True,Out of Stock,2023-12-16,Accepted
SUB_0019574,ORD_00164030,STR_008,SKU_0175,SKU_0464,Packaged Food,Snacks & Confectionery,False,112.0,False,Out of Stock,2023-07-29,Rejected
SUB_0021536,ORD_00180969,STR_001,SKU_0185,SKU_0242,Packaged Food,Beverages,False,-67.0,False,Out of Stock,2023-08-20,Rejected
SUB_0044291,ORD_00368583,STR_005,SKU_0322,SKU_0115,Household,Dairy & Eggs,False,-147.0,False,Expired,2024-03-07,Rejected
SUB_0020628,ORD_00172943,STR_009,SKU_0365,SKU_0227,Household,Beverages,False,-170.0,True,Expired,2023-08-09,Accepted
SUB_0030197,ORD_00252129,STR_002,SKU_0214,SKU_0452,Beverages,Snacks & Confectionery,False,-36.0,False,Out of Stock,2023-11-04,Rejected
SUB_0026843,ORD_00224533,STR_006,SKU_0245,SKU_0467,Beverages,Snacks & Confectionery,False,-145.0,True,Out of Stock,2023-10-10,Accepted
SUB_0034328,ORD_00286188,STR_009,SKU_0215,SKU_0405,Beverages,Baby & Kids,False,377.0,True,Out of Stock,2023-12-04,Accepted
SUB_0017895,ORD_00150503,STR_004,SKU_0454,SKU_0320,Snacks & Confectionery,Household,False,126.0,False,Out of Stock,2023-07-12,Rejected
SUB_0016359,ORD_00137795,STR_004,SKU_0124,SKU_0012,Dairy & Eggs,Fruits & Vegetables,False,-41.0,False,Out of Stock,2023-06-25,Rejected
SUB_0007823,ORD_00065927,STR_010,SKU_0464,SKU_0385,Snacks & Confectionery,Baby & Kids,False,171.0,False,Out of Stock,2023-03-19,Rejected
SUB_0020496,ORD_00171902,STR_005,SKU_0294,SKU_0127,Personal Care,Packaged Food,False,-161.0,False,Out of Stock,2023-08-08,Rejected
SUB_0029881,ORD_00249611,STR_009,SKU_0370,SKU_0155,Household,Packaged Food,False,117.0,False,Out of Stock,2023-11-01,Rejected
SUB_0028710,ORD_00240176,STR_004,SKU_0421,SKU_0371,Baby & Kids,Household,False,53.0,False,Damaged,2023-10-24,Rejected
SUB_0027645,ORD_00231172,STR_003,SKU_0408,SKU_0054,Baby & Kids,Fruits & Vegetables,False,-41.0,False,Expired,2023-10-16,Rejected
SUB_0027842,ORD_00232685,STR_008,SKU_0322,SKU_0368,Household,Household,True,-255.0,True,Out of Stock,2023-10-17,Accepted
SUB_0048546,ORD_00404233,STR_001,SKU_0099,SKU_0238,Dairy & Eggs,Beverages,False,0.0,True,Out of Stock,2024-04-22,Accepted
SUB_0036217,ORD_00301948,STR_010,SKU_0221,SKU_0322,Beverages,Household,False,148.0,False,Out of Stock,2023-12-21,Rejected
SUB_0015160,ORD_00127602,STR_001,SKU_0370,SKU_0182,Household,Packaged Food,False,-60.0,True,Out of Stock,2023-06-11,Accepted
SUB_0042961,ORD_00357526,STR_003,SKU_0144,SKU_0001,Packaged Food,Fruits & Vegetables,False,-66.0,False,Out of Stock,2024-02-22,Rejected
SUB_0011542,ORD_00097439,STR_005,SKU_0472,SKU_0225,Snacks & Confectionery,Beverages,False,29.0,False,Out of Stock,2023-04-29,Rejected
SUB_0031007,ORD_00258626,STR_001,SKU_0024,SKU_0005,Fruits & Vegetables,Fruits & Vegetables,True,-29.0,True,Damaged,2023-11-10,Accepted
SUB_0019843,ORD_00166428,STR_008,SKU_0371,SKU_0064,Household,Dairy & Eggs,False,-89.0,True,Out of Stock,2023-08-01,Accepted
SUB_0044710,ORD_00372303,STR_001,SKU_0088,SKU_0429,Dairy & Eggs,Baby & Kids,False,313.0,True,Out of Stock,2024-03-12,Accepted
SUB_0052633,ORD_00438037,STR_005,SKU_0082,SKU_0123,Dairy & Eggs,Dairy & Eggs,True,-8.0,True,Out of Stock,2024-06-08,Accepted
SUB_0008890,ORD_00075047,STR_001,SKU_0112,SKU_0028,Dairy & Eggs,Fruits & Vegetables,False,16.0,False,Out of Stock,2023-04-01,Rejected
SUB_0012934,ORD_00108804,STR_002,SKU_0424,SKU_0174,Baby & Kids,Packaged Food,False,-33.0,True,Out of Stock,2023-05-15,Accepted
SUB_0005188,ORD_00044045,STR_010,SKU_0235,SKU_0096,Beverages,Dairy & Eggs,False,40.0,False,Expired,2023-02-19,Rejected
SUB_0012039,ORD_00101573,STR_003,SKU_0433,SKU_0367,Baby & Kids,Household,False,-523.0,True,Out of Stock,2023-05-05,Accepted
SUB_0019594,ORD_00164200,STR_010,SKU_0045,SKU_0194,Fruits & Vegetables,Beverages,False,-32.0,True,Damaged,2023-07-29,Accepted
SUB_0052580,ORD_00437440,STR_007,SKU_0193,SKU_0275,Beverages,Personal Care,False,46.0,False,Out of Stock,2024-06-07,Rejected
SUB_0020004,ORD_00167786,STR_006,SKU_0431,SKU_0372,Baby & Kids,Household,False,-375.0,False,Out of Stock,2023-08-03,Rejected
SUB_0042551,ORD_00354135,STR_009,SKU_0459,SKU_0260,Snacks & Confectionery,Personal Care,False,22.0,True,Out of Stock,2024-02-17,Accepted
SUB_0020488,ORD_00171803,STR_004,SKU_0439,SKU_0320,Snacks & Confectionery,Household,False,164.0,True,Out of Stock,2023-08-08,Accepted
SUB_0020179,ORD_00169216,STR_005,SKU_0354,SKU_0266,Household,Personal Care,False,48.0,False,Expired,2023-08-05,Rejected
SUB_0054301,ORD_00452365,STR_002,SKU_0084,SKU_0452,Dairy & Eggs,Snacks & Confectionery,False,-103.0,False,Damaged,2024-06-29,Rejected
SUB_0042672,ORD_00355341,STR_002,SKU_0366,SKU_0274,Household,Personal Care,False,-89.0,True,Out of Stock,2024-02-19,Accepted
SUB_0023181,ORD_00194514,STR_006,SKU_0425,SKU_0027,Baby & Kids,Fruits & Vegetables,False,-598.0,True,Out of Stock,2023-09-06,Accepted
SUB_0039653,ORD_00329760,STR_004,SKU_0424,SKU_0325,Baby & Kids,Household,False,-118.0,False,Out of Stock,2024-01-20,Rejected
SUB_0016414,ORD_00138236,STR_009,SKU_0052,SKU_0388,Fruits & Vegetables,Baby & Kids,False,317.0,False,Out of Stock,2023-06-25,Rejected
SUB_0026048,ORD_00218122,STR_001,SKU_0294,SKU_0403,Personal Care,Baby & Kids,False,194.0,True,Out of Stock,2023-10-05,Accepted
SUB_0001222,ORD_00010497,STR_002,SKU_0469,SKU_0267,Snacks & Confectionery,Personal Care,False,48.0,False,Out of Stock,2023-01-12,Rejected
SUB_0033996,ORD_00283379,STR_002,SKU_0260,SKU_0242,Personal Care,Beverages,False,-19.0,True,Out of Stock,2023-12-02,Accepted
SUB_0021596,ORD_00181484,STR_006,SKU_0136,SKU_0441,Packaged Food,Snacks & Confectionery,False,12.0,False,Out of Stock,2023-08-20,Rejected
SUB_0003026,ORD_00025916,STR_006,SKU_0148,SKU_0079,Packaged Food,Dairy & Eggs,False,44.0,True,Out of Stock,2023-01-28,Accepted
SUB_0041530,ORD_00345617,STR_001,SKU_0444,SKU_0113,Snacks & Confectionery,Dairy & Eggs,False,30.0,False,Damaged,2024-02-07,Rejected
SUB_0048738,ORD_00405891,STR_004,SKU_0464,SKU_0490,Snacks & Confectionery,Snacks & Confectionery,True,-117.0,True,Out of Stock,2024-04-24,Accepted
SUB_0004893,ORD_00041583,STR_001,SKU_0116,SKU_0185,Dairy & Eggs,Packaged Food,False,59.0,True,Out of Stock,2023-02-17,Accepted
SUB_0048668,ORD_00405377,STR_007,SKU_0415,SKU_0061,Baby & Kids,Fruits & Vegetables,False,-216.0,False,Out of Stock,2024-04-23,Rejected
SUB_0023389,ORD_00196304,STR_001,SKU_0051,SKU_0253,Fruits & Vegetables,Personal Care,False,-14.0,False,Out of Stock,2023-09-09,Rejected
SUB_0022359,ORD_00187691,STR_005,SKU_0329,SKU_0131,Household,Packaged Food,False,-89.0,True,Out of Stock,2023-08-28,Accepted
SUB_0041319,ORD_00343813,STR_006,SKU_0084,SKU_0310,Dairy & Eggs,Personal Care,False,150.0,True,Out of Stock,2024-02-04,Accepted
SUB_0002009,ORD_00016880,STR_008,SKU_0241,SKU_0427,Beverages,Baby & Kids,False,92.0,False,Out of Stock,2023-01-18,Rejected
SUB_0051194,ORD_00426189,STR_007,SKU_0460,SKU_0432,Snacks & Confectionery,Baby & Kids,False,287.0,False,Out of Stock,2024-05-22,Rejected
SUB_0043919,ORD_00365472,STR_004,SKU_0264,SKU_0199,Personal Care,Beverages,False,-79.0,True,Out of Stock,2024-03-03,Accepted
SUB_0004970,ORD_00042237,STR_010,SKU_0088,SKU_0386,Dairy & Eggs,Baby & Kids,False,-10.0,True,Damaged,2023-02-17,Accepted
SUB_0015839,ORD_00133287,STR_010,SKU_0376,SKU_0188,Baby & Kids,Beverages,False,-470.0,False,Damaged,2023-06-18,Rejected
SUB_0031426,ORD_00261978,STR_008,SKU_0170,SKU_0340,Packaged Food,Household,False,102.0,True,Damaged,2023-11-12,Accepted
SUB_0039799,ORD_00331063,STR_005,SKU_0256,SKU_0339,Personal Care,Household,False,29.0,False,Expired,2024-01-21,Rejected
SUB_0001604,ORD_00013464,STR_002,SKU_0040,SKU_0394,Fruits & Vegetables,Baby & Kids,False,442.0,False,Out of Stock,2023-01-15,Rejected
SUB_0053889,ORD_00448804,STR_006,SKU_0170,SKU_0192,Packaged Food,Beverages,False,96.0,True,Out of Stock,2024-06-23,Accepted
SUB_0005159,ORD_00043785,STR_007,SKU_0015,SKU_0076,Fruits & Vegetables,Dairy & Eggs,False,59.0,True,Out of Stock,2023-02-19,Accepted
SUB_0050528,ORD_00420740,STR_008,SKU_0048,SKU_0358,Fruits & Vegetables,Household,False,190.0,True,Out of Stock,2024-05-14,Accepted
SUB_0052040,ORD_00432709,STR_010,SKU_0156,SKU_0244,Packaged Food,Beverages,False,25.0,True,Expired,2024-05-31,Accepted
SUB_0013695,ORD_00115336,STR_007,SKU_0189,SKU_0141,Beverages,Packaged Food,False,48.0,False,Damaged,2023-05-24,Rejected
SUB_0051256,ORD_00426628,STR_004,SKU_0142,SKU_0046,Packaged Food,Fruits & Vegetables,False,-28.0,False,Out of Stock,2024-05-23,Rejected
SUB_0046488,ORD_00386903,STR_001,SKU_0054,SKU_0469,Fruits & Vegetables,Snacks & Confectionery,False,36.0,True,Out of Stock,2024-03-31,Accepted
SUB_0027666,ORD_00231293,STR_004,SKU_0321,SKU_0036,Household,Fruits & Vegetables,False,-63.0,False,Out of Stock,2023-10-16,Rejected
SUB_0002495,ORD_00021074,STR_010,SKU_0028,SKU_0388,Fruits & Vegetables,Baby & Kids,False,295.0,True,Out of Stock,2023-01-22,Accepted
SUB_0011300,ORD_00095420,STR_009,SKU_0027,SKU_0240,Fruits & Vegetables,Beverages,False,125.0,False,Out of Stock,2023-04-26,Rejected
SUB_0005429,ORD_00046045,STR_008,SKU_0173,SKU_0294,Packaged Food,Personal Care,False,270.0,False,Out of Stock,2023-02-22,Rejected
SUB_0001843,ORD_00015635,STR_004,SKU_0166,SKU_0161,Packaged Food,Packaged Food,True,-90.0,True,Out of Stock,2023-01-17,Accepted
SUB_0019003,ORD_00159546,STR_008,SKU_0496,SKU_0079,Snacks & Confectionery,Dairy & Eggs,False,7.0,False,Out of Stock,2023-07-23,Rejected
SUB_0049520,ORD_00412218,STR_008,SKU_0023,SKU_0468,Fruits & Vegetables,Snacks & Confectionery,False,27.0,False,Out of Stock,2024-05-02,Rejected
SUB_0027654,ORD_00231222,STR_004,SKU_0216,SKU_0275,Beverages,Personal Care,False,54.0,False,Out of Stock,2023-10-16,Rejected
SUB_0041411,ORD_00344595,STR_006,SKU_0260,SKU_0012,Personal Care,Fruits & Vegetables,False,-82.0,False,Out of Stock,2024-02-05,Rejected
SUB_0040162,ORD_00334072,STR_007,SKU_0359,SKU_0071,Household,Dairy & Eggs,False,-65.0,False,Out of Stock,2024-01-24,Rejected
SUB_0022945,ORD_00192692,STR_010,SKU_0019,SKU_0428,Fruits & Vegetables,Baby & Kids,False,703.0,False,Out of Stock,2023-09-03,Rejected
SUB_0030901,ORD_00257840,STR_003,SKU_0286,SKU_0130,Personal Care,Packaged Food,False,17.0,True,Damaged,2023-11-09,Accepted
SUB_0015591,ORD_00131225,STR_004,SKU_0214,SKU_0271,Beverages,Personal Care,False,171.0,True,Out of Stock,2023-06-16,Accepted
SUB_0005752,ORD_00048796,STR_003,SKU_0141,SKU_0327,Packaged Food,Household,False,-33.0,True,Out of Stock,2023-02-26,Accepted
SUB_0031143,ORD_00259701,STR_001,SKU_0088,SKU_0370,Dairy & Eggs,Household,False,77.0,False,Out of Stock,2023-11-11,Rejected
SUB_0035751,ORD_00297944,STR_005,SKU_0223,SKU_0092,Beverages,Dairy & Eggs,False,-102.0,True,Out of Stock,2023-12-17,Accepted
SUB_0029369,ORD_00245602,STR_003,SKU_0006,SKU_0014,Fruits & Vegetables,Fruits & Vegetables,True,-15.0,True,Out of Stock,2023-10-29,Accepted
SUB_0003132,ORD_00026914,STR_004,SKU_0236,SKU_0382,Beverages,Baby & Kids,False,663.0,False,Out of Stock,2023-01-29,Rejected
SUB_0011602,ORD_00097864,STR_010,SKU_0326,SKU_0041,Household,Fruits & Vegetables,False,-57.0,True,Out of Stock,2023-04-29,Accepted
SUB_0007894,ORD_00066443,STR_007,SKU_0055,SKU_0188,Fruits & Vegetables,Beverages,False,120.0,False,Out of Stock,2023-03-20,Rejected
SUB_0013421,ORD_00113101,STR_004,SKU_0160,SKU_0356,Packaged Food,Household,False,84.0,True,Out of Stock,2023-05-21,Accepted
SUB_0022809,ORD_00191460,STR_007,SKU_0290,SKU_0232,Personal Care,Beverages,False,1.0,False,Damaged,2023-09-02,Rejected
SUB_0001584,ORD_00013259,STR_010,SKU_0311,SKU_0464,Household,Snacks & Confectionery,False,-19.0,False,Out of Stock,2023-01-14,Rejected
SUB_0030945,ORD_00258102,STR_006,SKU_0233,SKU_0344,Beverages,Household,False,177.0,False,Out of Stock,2023-11-09,Rejected
SUB_0041694,ORD_00347077,STR_002,SKU_0477,SKU_0426,Snacks & Confectionery,Baby & Kids,False,439.0,True,Out of Stock,2024-02-09,Accepted
SUB_0007653,ORD_00064467,STR_004,SKU_0277,SKU_0090,Personal Care,Dairy & Eggs,False,32.0,False,Damaged,2023-03-18,Rejected
SUB_0024610,ORD_00206359,STR_008,SKU_0348,SKU_0483,Household,Snacks & Confectionery,False,-211.0,True,Out of Stock,2023-09-21,Accepted
SUB_0054109,ORD_00450703,STR_005,SKU_0349,SKU_0292,Household,Personal Care,False,-116.0,False,Out of Stock,2024-06-26,Rejected
SUB_0013819,ORD_00116306,STR_001,SKU_0315,SKU_0151,Household,Packaged Food,False,67.0,False,Expired,2023-05-26,Rejected
SUB_0021136,ORD_00177539,STR_007,SKU_0090,SKU_0295,Dairy & Eggs,Personal Care,False,47.0,True,Out of Stock,2023-08-15,Accepted
SUB_0053915,ORD_00448962,STR_008,SKU_0336,SKU_0400,Household,Baby & Kids,False,320.0,True,Out of Stock,2024-06-23,Accepted
SUB_0033310,ORD_00277435,STR_004,SKU_0489,SKU_0237,Snacks & Confectionery,Beverages,False,23.0,False,Out of Stock,2023-11-26,Rejected
SUB_0036832,ORD_00307171,STR_004,SKU_0203,SKU_0002,Beverages,Fruits & Vegetables,False,-68.0,False,Out of Stock,2023-12-27,Rejected
SUB_0045087,ORD_00375551,STR_006,SKU_0492,SKU_0075,Snacks & Confectionery,Dairy & Eggs,False,5.0,True,Out of Stock,2024-03-16,Accepted
SUB_0007704,ORD_00064939,STR_009,SKU_0151,SKU_0426,Packaged Food,Baby & Kids,False,337.0,True,Out of Stock,2023-03-18,Accepted
SUB_0008478,ORD_00071503,STR_001,SKU_0244,SKU_0109,Beverages,Dairy & Eggs,False,41.0,False,Out of Stock,2023-03-27,Rejected
SUB_0049611,ORD_00412844,STR_008,SKU_0466,SKU_0440,Snacks & Confectionery,Snacks & Confectionery,True,26.0,False,Expired,2024-05-03,Rejected
SUB_0050054,ORD_00416717,STR_001,SKU_0376,SKU_0128,Baby & Kids,Packaged Food,False,-592.0,True,Out of Stock,2024-05-09,Accepted
SUB_0007674,ORD_00064667,STR_006,SKU_0369,SKU_0179,Household,Packaged Food,False,-125.0,True,Out of Stock,2023-03-18,Accepted
SUB_0010689,ORD_00089969,STR_010,SKU_0016,SKU_0067,Fruits & Vegetables,Dairy & Eggs,False,1.0,False,Expired,2023-04-19,Rejected
